Name,Species,Amplitude,Frequency,Spectral_Desc_Mean,Spectral_Desc_Var,Spectral_Centroid,Audio
Scinax,wandae,127.32557,5512,-15,5627,4491,sample_audios_xeno_canto\Scinax.wav
Canis,lupus,28.149658,5512,-29,7508,5168,sample_audios_xeno_canto\Canis.wav
Gampsocleis,sedakovii,0.4057637,5512,-11,10356,7410,sample_audios_xeno_canto\Gampsocleis.wav
Spermophilus,dauricus,34.230846,5512,-6,6393,6246,sample_audios_xeno_canto\Spermophilus.wav
Nigrogryllus,sibiricus,0.72387207,5512,-10,10915,3837,sample_audios_xeno_canto\Nigrogryllus.wav
Gastrophryne,olivacea,58.045383,5512,-10,5893,5755,sample_audios_xeno_canto\Gastrophryne.wav
Dryophytes,versicolor,584.1059,5512,-10,6393,4037,sample_audios_xeno_canto\Dryophytes.wav
Dryophytes,japonicus,4.2100925,5512,-13,13113,2424,sample_audios_xeno_canto\Dryophytes.wav
Nyctinomops,femorosaccus,0.08878846,5512,-21,13931,4832,sample_audios_xeno_canto\Nyctinomops.wav
Syncerus,caffer,82.58402,5512,-14,2075,3219,sample_audios_xeno_canto\Syncerus.wav
Chlorocebus,sabaeus,15.408486,5512,-31,4630,5001,sample_audios_xeno_canto\Chlorocebus.wav
Ephippigerida,asella,0.00044285558,5512,-32,33302,8478,sample_audios_xeno_canto\Ephippigerida.wav
Sciurus,stramineus,0.104611054,5512,-16,3449,2979,sample_audios_xeno_canto\Sciurus.wav
Isophya,pyrenaea,9.229019e-06,5512,-33,23203,6419,sample_audios_xeno_canto\Isophya.wav
Pleurodema,thaul,0.005422579,5512,-47,13720,4305,sample_audios_xeno_canto\Pleurodema.wav
Rhinolophus,euryale,0.0113063995,5512,-42,31726,9563,sample_audios_xeno_canto\Rhinolophus.wav
Ochotona,princeps,442.4056,5512,-14,2297,4687,sample_audios_xeno_canto\Ochotona.wav
Pristimantis,unistrigatus,1.6065911,5512,-17,4580,3006,sample_audios_xeno_canto\Pristimantis.wav
Pterolepis,cordubensis,0.019495118,5512,-23,9040,6667,sample_audios_xeno_canto\Pterolepis.wav
Rana,dalmatina,0.02981525,5512,-27,22051,5395,sample_audios_xeno_canto\Rana.wav
Neotamias,amoenus,34.356712,5512,-28,10155,8086,sample_audios_xeno_canto\Neotamias.wav
Saga,hellenica,490.9119,5512,-1,4106,3382,sample_audios_xeno_canto\Saga.wav
Neotamias,townsendii,0.0008809709,5512,-23,11068,4875,sample_audios_xeno_canto\Neotamias.wav
Fejervarya,multistriata,21.03644,5512,-12,4320,3137,sample_audios_xeno_canto\Fejervarya.wav
Rusa,unicolor,0.3086523,5512,-8,3915,3894,sample_audios_xeno_canto\Rusa.wav
Muntiacus,vaginalis,0.017815718,5512,-14,5797,4327,sample_audios_xeno_canto\Muntiacus.wav
Capreolus,pygargus,233.87186,5512,-21,5726,2958,sample_audios_xeno_canto\Capreolus.wav
Allobates,zaparo,16.752138,5512,-7,1664,4479,sample_audios_xeno_canto\Allobates.wav
Barycholos,pulcher,12.493671,5512,-20,4482,4597,sample_audios_xeno_canto\Barycholos.wav
Leptodactylus,rhodomerus,1.6687645,5512,-20,4348,4014,sample_audios_xeno_canto\Leptodactylus.wav
Spermophilus,alashanicus,119.76361,5512,-31,12740,6231,sample_audios_xeno_canto\Spermophilus.wav
Platycleis,affinis,0.13235413,5512,-13,7594,6325,sample_audios_xeno_canto\Platycleis.wav
Roeseliana,ambitiosa,30.399794,5512,-4,4254,7379,sample_audios_xeno_canto\Roeseliana.wav
Funambulus,pennantii,22.622372,5512,-16,5153,6098,sample_audios_xeno_canto\Funambulus.wav
Gastrotheca,pseustes,0.35396144,5512,-9,3256,3605,sample_audios_xeno_canto\Gastrotheca.wav
Leptodactylus,melanonotus,5.014769,5512,-17,3311,5962,sample_audios_xeno_canto\Leptodactylus.wav
Eumodicogryllus,theryi,130.73413,5512,-18,6636,6181,sample_audios_xeno_canto\Eumodicogryllus.wav
Corynorhinus,rafinesquii,0.021160781,5512,-29,27414,1686,sample_audios_xeno_canto\Corynorhinus.wav
Proceratophrys,renalis,489.32037,5512,-19,2659,4832,sample_audios_xeno_canto\Proceratophrys.wav
Euderma,maculatum,0.0127191385,5512,-24,11157,6736,sample_audios_xeno_canto\Euderma.wav
Idionycteris,phyllotis,0.004148535,5512,-27,13788,8398,sample_audios_xeno_canto\Idionycteris.wav
Lasionycteris,noctivagans,0.12015517,5512,-26,14445,3246,sample_audios_xeno_canto\Lasionycteris.wav
Stenobothrus,cotticus,985.341,5512,-4,8890,2224,sample_audios_xeno_canto\Stenobothrus.wav
Myrmeleotettix,maculatus,985.341,5512,-4,8890,2224,sample_audios_xeno_canto\Myrmeleotettix.wav
Lemur,catta,697.1661,5512,-19,9927,5182,sample_audios_xeno_canto\Lemur.wav
Acrometopa,servillea,0.24657395,5512,-18,21395,1693,sample_audios_xeno_canto\Acrometopa.wav
Marmota,sibirica,31.637348,5512,-23,7323,6756,sample_audios_xeno_canto\Marmota.wav
Bombina,bombina,14.398089,5512,-28,6709,3709,sample_audios_xeno_canto\Bombina.wav
Psorodonotus,illyricus,3.721837,5512,-23,4806,7909,sample_audios_xeno_canto\Psorodonotus.wav
Poecilimon,affinis,0.00075981696,5512,-41,39147,8058,sample_audios_xeno_canto\Poecilimon.wav
